slug,title,year
barbie,Barbie,
parasite-2019,Parasite,
interstellar,Interstellar,
fight-club,Fight Club,
la-la-land,La La Land,
everything-everywhere-all-at-once,Everything Everywhere All at Once,
whiplash-2014,Whiplash,
oppenheimer-2023,Oppenheimer,
pulp-fiction,Pulp Fiction,
the-substance,The Substance,
the-truman-show,The Truman Show,
joker-2019,Joker,
dune-2021,Dune,
get-out-2017,Get Out,
spider-man-into-the-spider-verse,Spider-Man: Into the Spider-Verse,
eternal-sunshine-of-the-spotless-mind,Eternal Sunshine of the Spotless Mind,
midsommar,Midsommar,
the-batman,The Batman,
the-dark-knight,The Dark Knight,
inception,Inception,
