movie_slug,review,stars,sentiment
barbie,made me question everything.,4.0,neutral
barbie,Pas mon style mais la moralité est bonne,2.5,neutral
barbie,"Bonne morale, bon dialogue mais l’acting bof",2.0,neutral
barbie,this movie bring me back to 2023.,3.0,neutral
barbie,I had to explain this movie to a lot of men.,4.0,neutral
barbie,"I rewatch it once again, and cried again 🥹",5.0,neutral
barbie,Pe release in the cinema. Did not expect to cry,3.5,neutral
barbie,barbie você sempre será famosa,5.0,neutral
barbie,"Je l’ai pas revu en réalité, mais entre temps j’ai eu des débats avec les gens ayant aimé cette bouse et leur avis et ce qu’ils ont compris du film me fait dire que j’ai été trop généreux",1.5,neutral
barbie,"Minha garota interior chorou com esse filme. Ele é muito girly girl, nos ama!!!!",5.0,neutral
barbie,I just ken hate this movie. 🤗🤗,,negative
barbie,IM A BARBIEGIRLAAAAAAINNNNNAAAABARBIEIEWROROODLDLSAAAOOAOAAA,4.5,neutral
barbie,I LOVE THIS OMG,5.0,positive
barbie,America Ferrera’s monologue is timeless.,5.0,neutral
barbie,Lovely message,4.0,positive
barbie,"Heard What was I made for? live, Motherfuckers!",5.0,neutral
barbie,Walked out of Deira CC thanking my whole bloodline and the heaven that I am a woman and is experiencing womanhood myself :”)),5.0,neutral
barbie,it’s ight,3.0,neutral
barbie,campy but not even worth comparing to barbie in the pink shoes,3.5,neutral
barbie,gosh i hate ken,4.5,negative
barbie,"""Barbie"", masquerading as a self-aware, self-critical film, is just an empty product of radical chic progressivism, peddling window-dressing feminism that challenges nothing.",2.0,neutral
barbie,"CAPITENE IL SIGNIFICATO CAZZMolto piu riuscito di quel che si dice, la gente non capisce nada",5.0,neutral
barbie,"after scouring the internet for reviews of the barbie movie, i came across essentially two different types of reviews: red-pill conservatives criticizing it as ""woke"" liberal propaganda that was precipitously anti-men, and people claiming it was a feminist masterpiece that delivered a powerful message about equality across the world.i find an issue with both of these reviews. the first, obviously is thoughtless rhetoric from men who got their feelings hurt when toxic masculinity was attacked, and instead of processing… more",3.0,neutral
barbie,Je m’attendais à un film de con je suis ressortie j’avais envie de manifester les seins à l’air,3.0,neutral
barbie,"secara visual emang manjain mata banget sihhh dan sangat watchable untuk semua kalangan, tapi menurutku kalo dibedah secara storyline ofc ini bukan untuk anak""... but overall this movie was funn",3.5,neutral
barbie,💞😹😭,5.0,neutral
barbie,65/100,3.5,neutral
barbie,j’ai dormi,2.0,neutral
barbie,Aguante Ryan Gosling,4.0,neutral
